family	genus	species	segment	refseqs
Adenoviridae	Mastadenovirus	Human mastadenovirus A	None	NC_001460
Adenoviridae	Mastadenovirus	Human mastadenovirus B	None	NC_011202,NC_011203
Adenoviridae	Mastadenovirus	Human mastadenovirus C	None	NC_001405
Adenoviridae	Mastadenovirus	Human mastadenovirus D	None	NC_010956,NC_012959
Adenoviridae	Mastadenovirus	Human mastadenovirus E	None	NC_017825,NC_003266
Adenoviridae	Mastadenovirus	Human mastadenovirus F	None	NC_001454
Adenoviridae	Mastadenovirus	Human mastadenovirus G	None	NC_006879
Amalgaviridae	unknown	Zygosaccharomyces bailii virus Z	None	NC_003874
Anelloviridae	Alphatorquevirus	Simian torque teno virus 30	None	NC_026663
Anelloviridae	Alphatorquevirus	Simian torque teno virus 31	None	NC_026662
Anelloviridae	Alphatorquevirus	Simian torque teno virus 32	None	NC_026664
Anelloviridae	Alphatorquevirus	Simian torque teno virus 33	None	NC_026764
Anelloviridae	Alphatorquevirus	Simian torque teno virus 34	None	NC_026765
Anelloviridae	Alphatorquevirus	Torque teno virus 1	None	NC_002076
Anelloviridae	Alphatorquevirus	Torque teno virus 10	None	NC_014076
Anelloviridae	Alphatorquevirus	Torque teno virus 11	None	NC_038338
Anelloviridae	Alphatorquevirus	Torque teno virus 12	None	NC_014075
Anelloviridae	Alphatorquevirus	Torque teno virus 13	None	NC_038339
Anelloviridae	Alphatorquevirus	Torque teno virus 14	None	NC_014077
Anelloviridae	Alphatorquevirus	Torque teno virus 15	None	NC_014096
Anelloviridae	Alphatorquevirus	Torque teno virus 16	None	NC_014091
Anelloviridae	Alphatorquevirus	Torque teno virus 19	None	NC_014078
Anelloviridae	Alphatorquevirus	Torque teno virus 2	None	NC_014480
Anelloviridae	Alphatorquevirus	Torque teno virus 20	None	NC_038340
Anelloviridae	Alphatorquevirus	Torque teno virus 21	None	NC_038341
Anelloviridae	Alphatorquevirus	Torque teno virus 23	None	NC_038342
Anelloviridae	Alphatorquevirus	Torque teno virus 24	None	NC_038343
Anelloviridae	Alphatorquevirus	Torque teno virus 25	None	NC_014083
Anelloviridae	Alphatorquevirus	Torque teno virus 26	None	NC_014079
Anelloviridae	Alphatorquevirus	Torque teno virus 27	None	NC_014074
Anelloviridae	Alphatorquevirus	Torque teno virus 28	None	NC_014073
Anelloviridae	Alphatorquevirus	Torque teno virus 29	None	NC_038344
Anelloviridae	Alphatorquevirus	Torque teno virus 3	None	NC_014081
Anelloviridae	Alphatorquevirus	Torque teno virus 4	None	NC_014069
Anelloviridae	Alphatorquevirus	Torque teno virus 5	None	NC_038336
Anelloviridae	Alphatorquevirus	Torque teno virus 6	None	NC_014094
Anelloviridae	Alphatorquevirus	Torque teno virus 7	None	NC_014080
Anelloviridae	Alphatorquevirus	Torque teno virus 8	None	NC_014084
Anelloviridae	Alphatorquevirus	Torque teno virus 9	None	NC_038337
Anelloviridae	Betatorquevirus	TTV-like mini virus	None	NC_020498
Anelloviridae	Betatorquevirus	Torque teno mini virus 1	None	NC_014097
Anelloviridae	Betatorquevirus	Torque teno mini virus 10	None	NC_038345
Anelloviridae	Betatorquevirus	Torque teno mini virus 11	None	NC_038346
Anelloviridae	Betatorquevirus	Torque teno mini virus 12	None	NC_038347
Anelloviridae	Betatorquevirus	Torque teno mini virus 18	None	NC_030297
Anelloviridae	Betatorquevirus	Torque teno mini virus 2	None	NC_014086
Anelloviridae	Betatorquevirus	Torque teno mini virus 3	None	NC_014088
Anelloviridae	Betatorquevirus	Torque teno mini virus 4	None	NC_014090
Anelloviridae	Betatorquevirus	Torque teno mini virus 5	None	NC_014089
Anelloviridae	Betatorquevirus	Torque teno mini virus 6	None	NC_014095
Anelloviridae	Betatorquevirus	Torque teno mini virus 7	None	NC_014082
Anelloviridae	Betatorquevirus	Torque teno mini virus 8	None	NC_014068
Anelloviridae	Betatorquevirus	Torque teno mini virus 9	None	NC_002195
Anelloviridae	Betatorquevirus	Torque teno mini virus ALA22	None	NC_025726
Anelloviridae	Betatorquevirus	Torque teno mini virus ALH8	None	NC_025727
Anelloviridae	Deltatorquevirus	Torque teno tupaia virus	None	NC_038348
Anelloviridae	Epsilontorquevirus	Torque teno tamarin virus	None	NC_014085
Anelloviridae	Etatorquevirus	Torque teno felis virus	None	NC_014072
Anelloviridae	Etatorquevirus	Torque teno felis virus 2	None	NC_038349
Anelloviridae	Gammatorquevirus	Torque teno midi virus 1	None	NC_009225
Anelloviridae	Gammatorquevirus	Torque teno midi virus 10	None	NC_038357
Anelloviridae	Gammatorquevirus	Torque teno midi virus 11	None	NC_038358
Anelloviridae	Gammatorquevirus	Torque teno midi virus 12	None	NC_038359
Anelloviridae	Gammatorquevirus	Torque teno midi virus 13	None	NC_038360
Anelloviridae	Gammatorquevirus	Torque teno midi virus 14	None	NC_038361
Anelloviridae	Gammatorquevirus	Torque teno midi virus 15	None	NC_038362
Anelloviridae	Gammatorquevirus	Torque teno midi virus 2	None	NC_014093
Anelloviridae	Gammatorquevirus	Torque teno midi virus 3	None	NC_038350
Anelloviridae	Gammatorquevirus	Torque teno midi virus 4	None	NC_038351
Anelloviridae	Gammatorquevirus	Torque teno midi virus 5	None	NC_038352
Anelloviridae	Gammatorquevirus	Torque teno midi virus 6	None	NC_038353
Anelloviridae	Gammatorquevirus	Torque teno midi virus 7	None	NC_038354
Anelloviridae	Gammatorquevirus	Torque teno midi virus 8	None	NC_038355
Anelloviridae	Gammatorquevirus	Torque teno midi virus 9	None	NC_038356
Anelloviridae	Gyrovirus	Avian gyrovirus 2	None	NC_015396
Anelloviridae	Gyrovirus	Chicken anemia virus	None	NC_001427
Anelloviridae	Gyrovirus	Gyrovirus 4	None	NC_018401
Anelloviridae	Gyrovirus	Gyrovirus GyV3	None	NC_017091
Anelloviridae	Gyrovirus	Gyrovirus GyV7-SF	None	NC_025215
Anelloviridae	Gyrovirus	Gyrovirus Tu243	None	NC_022788
Anelloviridae	Gyrovirus	Gyrovirus Tu789	None	NC_022789
Anelloviridae	Iotatorquevirus	Torque teno sus virus 1a	None	NC_014070
Anelloviridae	Iotatorquevirus	Torque teno sus virus 1b	None	NC_027059
Anelloviridae	Kappatorquevirus	Torque teno sus virus k2a	None	NC_014092
Anelloviridae	Kappatorquevirus	Torque teno sus virus k2b	None	NC_038363
Anelloviridae	Lambdatorquevirus	Torque teno zalophus virus 1	None	NC_012126
Anelloviridae	Thetatorquevirus	Torque teno canis virus	None	NC_014071
Anelloviridae	Zetatorquevirus	Torque teno douroucouli virus	None	NC_014087
Anelloviridae	unclassified	Giant panda anellovirus	None	NC_035192
Anelloviridae	unknown	Gorilla anellovirus	None	NC_030650
Anelloviridae	unknown	Rodent Torque teno virus 2	None	NC_025966
Anelloviridae	unknown	Seal anellovirus 2	None	NC_024891
Anelloviridae	unknown	Seal anellovirus 3	None	NC_024890
Anelloviridae	unknown	Seal anellovirus TFFN/USA/2006	None	NC_015212
Anelloviridae	unknown	Small anellovirus	None	NC_007013,NC_007014
Anelloviridae	unknown	Torque teno Leptonychotes weddellii virus-1	None	NC_035136
Anelloviridae	unknown	Torque teno Leptonychotes weddellii virus-2	None	NC_035135
Anelloviridae	unknown	Torque teno indri virus 1	None	NC_034978
Anelloviridae	unknown	Torque teno virus	None	NC_015783
Arenaviridae	Arenavirus	Mopeia Lassa virus reassortant 29	L	NC_006572
Arenaviridae	Arenavirus	Mopeia Lassa virus reassortant 29	S	NC_006573
Arenaviridae	Mammarenavirus	Allpahuayo mammarenavirus	L	NC_010249
Arenaviridae	Mammarenavirus	Allpahuayo mammarenavirus	S	NC_010253
Arenaviridae	Mammarenavirus	Argentinian mammarenavirus	L	NC_005080
Arenaviridae	Mammarenavirus	Argentinian mammarenavirus	S	NC_005081
Arenaviridae	Mammarenavirus	Bear Canyon mammarenavirus	L	NC_010255
Arenaviridae	Mammarenavirus	Bear Canyon mammarenavirus	S	NC_010256
Arenaviridae	Mammarenavirus	Brazilian mammarenavirus	L	NC_006313
Arenaviridae	Mammarenavirus	Brazilian mammarenavirus	S	NC_006317
Arenaviridae	Mammarenavirus	Cali mammarenavirus	L	NC_006439
Arenaviridae	Mammarenavirus	Cali mammarenavirus	S	NC_006447
Arenaviridae	Mammarenavirus	Chapare mammarenavirus	L	NC_010563
Arenaviridae	Mammarenavirus	Chapare mammarenavirus	S	NC_010562
Arenaviridae	Mammarenavirus	Cupixi mammarenavirus	L	NC_010252
Arenaviridae	Mammarenavirus	Cupixi mammarenavirus	S	NC_010254
Arenaviridae	Mammarenavirus	Flexal mammarenavirus	L	NC_010759
Arenaviridae	Mammarenavirus	Flexal mammarenavirus	S	NC_010757
Arenaviridae	Mammarenavirus	Gairo mammarenavirus	L	NC_026247
Arenaviridae	Mammarenavirus	Gairo mammarenavirus	S	NC_026246
Arenaviridae	Mammarenavirus	Guanarito mammarenavirus	L	NC_005082
Arenaviridae	Mammarenavirus	Guanarito mammarenavirus	S	NC_005077
Arenaviridae	Mammarenavirus	Ippy mammarenavirus	L	NC_007906
Arenaviridae	Mammarenavirus	Ippy mammarenavirus	S	NC_007905
Arenaviridae	Mammarenavirus	Lassa mammarenavirus	L	NC_004297
Arenaviridae	Mammarenavirus	Lassa mammarenavirus	S	NC_004296,KM821998,GU481072,KM821773
Arenaviridae	Mammarenavirus	Latino mammarenavirus	L	NC_010760
Arenaviridae	Mammarenavirus	Latino mammarenavirus	S	NC_010758
Arenaviridae	Mammarenavirus	Loei River mammarenavirus	L	NC_038365
Arenaviridae	Mammarenavirus	Loei River mammarenavirus	S	NC_038364
Arenaviridae	Mammarenavirus	Lujo mammarenavirus	L	NC_012777
Arenaviridae	Mammarenavirus	Lujo mammarenavirus	S	NC_012776
Arenaviridae	Mammarenavirus	Luna mammarenavirus	L	NC_016153
Arenaviridae	Mammarenavirus	Luna mammarenavirus	S	NC_016152
Arenaviridae	Mammarenavirus	Lunk mammarenavirus	L	NC_018711
Arenaviridae	Mammarenavirus	Lunk mammarenavirus	S	NC_018710
Arenaviridae	Mammarenavirus	Lymphocytic choriomeningitis mammarenavirus	L	NC_004291
Arenaviridae	Mammarenavirus	Lymphocytic choriomeningitis mammarenavirus	S	NC_004294
Arenaviridae	Mammarenavirus	Machupo mammarenavirus	L	NC_005079
Arenaviridae	Mammarenavirus	Machupo mammarenavirus	S	NC_005078
Arenaviridae	Mammarenavirus	Mobala mammarenavirus	L	NC_007904
Arenaviridae	Mammarenavirus	Mobala mammarenavirus	S	NC_007903
Arenaviridae	Mammarenavirus	Mopeia mammarenavirus	L	NC_006574
Arenaviridae	Mammarenavirus	Mopeia mammarenavirus	S	NC_006575
Arenaviridae	Mammarenavirus	Morogoro mammarenavirus	L	NC_013058
Arenaviridae	Mammarenavirus	Morogoro mammarenavirus	S	NC_013057
Arenaviridae	Mammarenavirus	Oliveros mammarenavirus	L	NC_010250
Arenaviridae	Mammarenavirus	Oliveros mammarenavirus	S	NC_010248
Arenaviridae	Mammarenavirus	Paraguayan mammarenavirus	L	NC_010761
Arenaviridae	Mammarenavirus	Paraguayan mammarenavirus	S	NC_010756
Arenaviridae	Mammarenavirus	Pirital mammarenavirus	L	NC_005897
Arenaviridae	Mammarenavirus	Pirital mammarenavirus	S	NC_005894
Arenaviridae	Mammarenavirus	Ryukyu mammarenavirus	L	NC_039010
Arenaviridae	Mammarenavirus	Ryukyu mammarenavirus	S	NC_039009
Arenaviridae	Mammarenavirus	Serra do Navio mammarenavirus	L	NC_010251
Arenaviridae	Mammarenavirus	Serra do Navio mammarenavirus	S	NC_010247
Arenaviridae	Mammarenavirus	Solwezi mammarenavirus	L	NC_038366
Arenaviridae	Mammarenavirus	Solwezi mammarenavirus	S	NC_038367
Arenaviridae	Mammarenavirus	Souris mammarenavirus	L	NC_039011
Arenaviridae	Mammarenavirus	Souris mammarenavirus	S	NC_039012
Arenaviridae	Mammarenavirus	Tacaribe mammarenavirus	L	NC_004292
Arenaviridae	Mammarenavirus	Tacaribe mammarenavirus	S	NC_004293
Arenaviridae	Mammarenavirus	Tamiami mammarenavirus	L	NC_010702
Arenaviridae	Mammarenavirus	Tamiami mammarenavirus	S	NC_010701
Arenaviridae	Mammarenavirus	Whitewater Arroyo mammarenavirus	L	NC_010703
Arenaviridae	Mammarenavirus	Whitewater Arroyo mammarenavirus	S	NC_010700
Arenaviridae	Reptarenavirus	California reptarenavirus	L	NC_018484
Arenaviridae	Reptarenavirus	California reptarenavirus	S	NC_018481
Arenaviridae	Reptarenavirus	Giessen reptarenavirus	L	NC_039006
Arenaviridae	Reptarenavirus	Giessen reptarenavirus	S	NC_039005
Arenaviridae	Reptarenavirus	Golden reptarenavirus	L	NC_018482
Arenaviridae	Reptarenavirus	Golden reptarenavirus	S	NC_018483
Arenaviridae	Reptarenavirus	Ordinary reptarenavirus	L	NC_039008
Arenaviridae	Reptarenavirus	Ordinary reptarenavirus	S	NC_039007
Astroviridae	Mamastrovirus	Mamastrovirus 1	None	NC_001943,NC_030922
Astroviridae	Mamastrovirus	Mamastrovirus 6	None	NC_011400
Astroviridae	Mamastrovirus	Mamastrovirus 8	None	GQ415660
Astroviridae	Mamastrovirus	Mamastrovirus 9	None	NC_013060
Caliciviridae	Norovirus	Norwalk virus	None	NC_029645,NC_029646,NC_029647,NC_001959,NC_008311
Caliciviridae	Sapovirus	Bat sapovirus TLC58/HK	None	NC_017936
Caliciviridae	Sapovirus	Sapporo virus	None	NC_010624,NC_006269,NC_006554,NC_027026,NC_000940
Caliciviridae	Vesivirus	Vesicular exanthema of swine virus	None	NC_002551,NC_004541,NC_029645,NC_029646,NC_029647,NC_001959,NC_008311
Circoviridae	Circovirus	Human associated circovirus 1	None	NC_038392
Circoviridae	Cyclovirus	Human associated cyclovirus 1	None	NC_038412
Circoviridae	Cyclovirus	Human associated cyclovirus 10	None	NC_023874
Circoviridae	Cyclovirus	Human associated cyclovirus 11	None	NC_038418
Circoviridae	Cyclovirus	Human associated cyclovirus 12	None	NC_032682
Circoviridae	Cyclovirus	Human associated cyclovirus 2	None	NC_036877
Circoviridae	Cyclovirus	Human associated cyclovirus 3	None	NC_038413
Circoviridae	Cyclovirus	Human associated cyclovirus 4	None	NC_038414
Circoviridae	Cyclovirus	Human associated cyclovirus 5	None	NC_038415
Circoviridae	Cyclovirus	Human associated cyclovirus 6	None	NC_038416
Circoviridae	Cyclovirus	Human associated cyclovirus 7	None	NC_038417
Circoviridae	Cyclovirus	Human associated cyclovirus 8	None	NC_039215
Circoviridae	Cyclovirus	Human associated cyclovirus 9	None	NC_021568
Circoviridae	unknown	Human fecal virus Jorvi2	None	NC_035212
Circoviridae	unknown	Human fecal virus Jorvi3	None	NC_035213
Circoviridae	unknown	Human fecal virus Jorvi4	None	NC_035211
Coronaviridae	Alphacoronavirus	Human coronavirus 229E	None	NC_002645,NC_028752
Coronaviridae	Alphacoronavirus	Human coronavirus NL63	None	NC_005831
Coronaviridae	Betacoronavirus	Human coronavirus HKU1	None	NC_006577
Coronaviridae	Betacoronavirus	Middle East respiratory syndrome-related coronavirus	None	NC_038294,NC_019843
Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	None	NC_004718
Filoviridae	Cuevavirus	Lloviu cuevavirus	None	NC_016144
Filoviridae	Ebolavirus	Bundibugyo ebolavirus	None	NC_014373
Filoviridae	Ebolavirus	Reston ebolavirus	None	NC_004161
Filoviridae	Ebolavirus	Sudan ebolavirus	None	NC_006432
Filoviridae	Ebolavirus	Tai Forest ebolavirus	None	NC_014372
Filoviridae	Ebolavirus	Zaire ebolavirus	None	NC_002549
Filoviridae	Marburgvirus	Marburg marburgvirus	None	NC_001608,NC_024781
Flaviviridae	Flavivirus	Aedes flavivirus	None	NC_012932
Flaviviridae	Flavivirus	Apoi virus	None	NC_003676
Flaviviridae	Flavivirus	Aroa virus	None	NC_009026
Flaviviridae	Flavivirus	Bagaza virus	None	NC_012534
Flaviviridae	Flavivirus	Banzi virus	None	DQ859056
Flaviviridae	Flavivirus	Bouboui virus	None	NC_033693
Flaviviridae	Flavivirus	Cacipacore virus	None	NC_026623
Flaviviridae	Flavivirus	Cell fusing agent virus	None	NC_001564
Flaviviridae	Flavivirus	Chaoyang virus	None	NC_017086
Flaviviridae	Flavivirus	Culex flavivirus	None	NC_008604
Flaviviridae	Flavivirus	Dengue virus	None	NC_001477,NC_002640,NC_001475,NC_001474
Flaviviridae	Flavivirus	Donggang virus	None	NC_016997
Flaviviridae	Flavivirus	Edge Hill virus	None	NC_030289
Flaviviridae	Flavivirus	Entebbe bat virus	None	NC_008718
Flaviviridae	Flavivirus	Gadgets Gully virus	None	NC_033723
Flaviviridae	Flavivirus	Hanko virus	None	NC_030401
Flaviviridae	Flavivirus	Ilheus virus	None	NC_009028
Flaviviridae	Flavivirus	Japanese encephalitis virus	None	NC_001437
Flaviviridae	Flavivirus	Jugra virus	None	NC_033699
Flaviviridae	Flavivirus	Kadam virus	None	NC_033724
Flaviviridae	Flavivirus	Kamiti River virus	None	NC_005064
Flaviviridae	Flavivirus	Kedougou virus	None	NC_012533
Flaviviridae	Flavivirus	Kokobera virus	None	NC_032088,NC_009029
Flaviviridae	Flavivirus	Kyasanur Forest disease virus	None	NC_039218
Flaviviridae	Flavivirus	Langat virus	None	NC_003690
Flaviviridae	Flavivirus	Louping ill virus	None	NC_001809
Flaviviridae	Flavivirus	Meaban virus	None	NC_033721
Flaviviridae	Flavivirus	Mercadeo virus	None	NC_027819
Flaviviridae	Flavivirus	Modoc virus	None	NC_003635
Flaviviridae	Flavivirus	Montana myotis leukoencephalitis virus	None	NC_004119
Flaviviridae	Flavivirus	Murray Valley encephalitis virus	None	NC_000943
Flaviviridae	Flavivirus	Nounane virus	None	NC_033715
Flaviviridae	Flavivirus	Ntaya virus	None	NC_018705
Flaviviridae	Flavivirus	Ochlerotatus caspius flavivirus	None	NC_034242
Flaviviridae	Flavivirus	Omsk hemorrhagic fever virus	None	NC_005062
Flaviviridae	Flavivirus	Palm Creek virus	None	NC_033694
Flaviviridae	Flavivirus	Paraiso Escondido virus	None	NC_027999
Flaviviridae	Flavivirus	Parramatta River virus	None	NC_027817
Flaviviridae	Flavivirus	Phnom Penh bat virus	None	NC_034007
Flaviviridae	Flavivirus	Powassan virus	None	NC_003687
Flaviviridae	Flavivirus	Quang Binh virus	None	NC_012671,NC_021069
Flaviviridae	Flavivirus	Rio Bravo virus	None	NC_003675
Flaviviridae	Flavivirus	Royal Farm virus	None	NC_039219
Flaviviridae	Flavivirus	Saboya virus	None	NC_033697,NC_029054
Flaviviridae	Flavivirus	Saint Louis encephalitis virus	None	NC_007580
Flaviviridae	Flavivirus	Saumarez Reef virus	None	NC_033726
Flaviviridae	Flavivirus	Sepik virus	None	NC_008719
Flaviviridae	Flavivirus	Spanish goat encephalitis virus	None	NC_027709
Flaviviridae	Flavivirus	Spondweni virus	None	NC_029055
Flaviviridae	Flavivirus	T'Ho virus	None	NC_034151
Flaviviridae	Flavivirus	Tamana bat virus	None	NC_003996
Flaviviridae	Flavivirus	Tembusu virus	None	NC_015843
Flaviviridae	Flavivirus	Tick-borne encephalitis virus	None	NC_001672
Flaviviridae	Flavivirus	Uganda S virus	None	NC_033698
Flaviviridae	Flavivirus	Usutu virus	None	NC_006551
Flaviviridae	Flavivirus	Wesselsbron virus	None	NC_012735
Flaviviridae	Flavivirus	West Nile virus	None	NC_001563,NC_009942
Flaviviridae	Flavivirus	Yaounde virus	None	NC_034018
Flaviviridae	Flavivirus	Yellow fever virus	None	NC_002031
Flaviviridae	Flavivirus	Yokose virus	None	NC_005039
Flaviviridae	Flavivirus	Zika virus	None	NC_012532,NC_035889
Flaviviridae	Hepacivirus	Bat hepacivirus	None	NC_031947
Flaviviridae	Hepacivirus	Bovine hepacivirus	None	NC_026797
Flaviviridae	Hepacivirus	Hepacivirus A	None	NC_038425
Flaviviridae	Hepacivirus	Hepacivirus B	None	NC_038426
Flaviviridae	Hepacivirus	Hepacivirus C	None	NC_004102,NC_030791,NC_009827,NC_009826,NC_009825,NC_038882,NC_009824,NC_009823
Flaviviridae	Hepacivirus	Hepacivirus D	None	NC_031950
Flaviviridae	Hepacivirus	Hepacivirus F	None	NC_038427
Flaviviridae	Hepacivirus	Hepacivirus I	None	NC_038428
Flaviviridae	Hepacivirus	Hepacivirus J	None	NC_038429
Flaviviridae	Hepacivirus	Hepacivirus K	None	NC_038430
Flaviviridae	Hepacivirus	Hepacivirus L	None	NC_031916
Flaviviridae	Hepacivirus	Hepacivirus M	None	NC_038431
Flaviviridae	Hepacivirus	Hepacivirus N	None	NC_038432
Flaviviridae	Hepacivirus	Norway rat hepacivirus 1	None	NC_025672
Flaviviridae	Hepacivirus	Norway rat hepacivirus 2	None	NC_025673
Flaviviridae	Hepacivirus	Rodent hepacivirus	None	NC_021153
Flaviviridae	Pegivirus	Pegivirus A	None	NC_024377,NC_001837
Flaviviridae	Pegivirus	Pegivirus C	None	NC_001710
Flaviviridae	Pegivirus	Pegivirus H	None	NC_027998,NC_038436
Genomoviridae	Gemycircularvirus	Gemycircularvirus HV-GcV1	None	NC_030447
Genomoviridae	Gemygorvirus	Sewage derived gemygorvirus 1	None	NC_026817,NC_026161
Genomoviridae	Gemykibivirus	Human associated gemykibivirus 1	None	NC_024691
Genomoviridae	Gemykibivirus	Human associated gemykibivirus 2	None	NC_026818
Genomoviridae	Gemykibivirus	Human associated gemykibivirus 5	None	NC_030448
Genomoviridae	Gemyvongvirus	Human associated gemyvongvirus 1	None	NC_028459
Hantaviridae	Orthohantavirus	Andes orthohantavirus	L	NC_003468
Hantaviridae	Orthohantavirus	Andes orthohantavirus	M	NC_003467
Hantaviridae	Orthohantavirus	Andes orthohantavirus	S	NC_003466
Hantaviridae	Orthohantavirus	Asama orthohantavirus	M	NC_038274
Hantaviridae	Orthohantavirus	Asama orthohantavirus	S	NC_038273
Hantaviridae	Orthohantavirus	Bayou orthohantavirus	L	NC_038299
Hantaviridae	Orthohantavirus	Bayou orthohantavirus	M	NC_038300
Hantaviridae	Orthohantavirus	Bayou orthohantavirus	S	NC_038298
Hantaviridae	Orthohantavirus	Black creek canal orthohantavirus	L	GU997097
Hantaviridae	Orthohantavirus	Black creek canal orthohantavirus	M	L39950
Hantaviridae	Orthohantavirus	Black creek canal orthohantavirus	S	L39949
Hantaviridae	Orthohantavirus	Bowe orthohantavirus	L	NC_034407
Hantaviridae	Orthohantavirus	Bowe orthohantavirus	M	NC_034406
Hantaviridae	Orthohantavirus	Bowe orthohantavirus	S	NC_034405
Hantaviridae	Orthohantavirus	Bruges orthohantavirus	L	NC_034402
Hantaviridae	Orthohantavirus	Bruges orthohantavirus	M	NC_034395
Hantaviridae	Orthohantavirus	Bruges orthohantavirus	S	NC_034394
Hantaviridae	Orthohantavirus	Cano Delgadito orthohantavirus	L	NC_034515
Hantaviridae	Orthohantavirus	Cano Delgadito orthohantavirus	M	NC_034525
Hantaviridae	Orthohantavirus	Cano Delgadito orthohantavirus	S	NC_034528
Hantaviridae	Orthohantavirus	Cao Bang orthohantavirus	L	NC_034485
Hantaviridae	Orthohantavirus	Cao Bang orthohantavirus	M	NC_034474
Hantaviridae	Orthohantavirus	Cao Bang orthohantavirus	S	NC_034484
Hantaviridae	Orthohantavirus	Choclo orthohantavirus	L	KT983773
Hantaviridae	Orthohantavirus	Choclo orthohantavirus	M	NC_038374
Hantaviridae	Orthohantavirus	Choclo orthohantavirus	S	NC_038373
Hantaviridae	Orthohantavirus	Dabieshan orthohantavirus	M	NC_038383
Hantaviridae	Orthohantavirus	Dabieshan orthohantavirus	S	NC_038384
Hantaviridae	Orthohantavirus	Dobrava-Belgrade orthohantavirus	L	NC_005235
Hantaviridae	Orthohantavirus	Dobrava-Belgrade orthohantavirus	M	NC_005234
Hantaviridae	Orthohantavirus	Dobrava-Belgrade orthohantavirus	S	NC_005233
Hantaviridae	Orthohantavirus	El Moro Canyon orthohantavirus	M	NC_038424
Hantaviridae	Orthohantavirus	El Moro Canyon orthohantavirus	S	NC_038423
Hantaviridae	Orthohantavirus	Fugong orthohantavirus	L	NC_034467
Hantaviridae	Orthohantavirus	Fugong orthohantavirus	M	NC_034466
Hantaviridae	Orthohantavirus	Fugong orthohantavirus	S	NC_034473
Hantaviridae	Orthohantavirus	Fusong orthohantavirus	M	NC_038447
